packet_id,packet_duration,second_frame,src_ip,dest_ip,protocol,length,info,target
PI_741404,0.0470000000000254,SF_630318,fe80::212:7412:12:1212,fe80::212:7418:18:1818,ICMPv6,76,RPL Control (Destination Advertisement Object),0
PI_237888,0.0010000000000331,SF_367074,fe80::212:7443:43:4343,fe80::212:7411:11:1111,ICMPv6,76,RPL Control (Destination Advertisement Object),1
PI_408771,0.0090000000000145,SF_526833,fe80::212:7418:18:1818,fe80::212:7455:55:5555,ICMPv6,76,RPL Control (Destination Advertisement Object),0
PI_101539,0.4300000000000636,SF_935887,fe80::212:740b:b:b0b,fe80::212:7421:21:2121,ICMPv6,102,RPL Control (DODAG Information Object),1
PI_199855,0.1879999999999881,SF_272413,fe80::212:743a:3a:3a3a,fe80::212:7408:8:808,ICMPv6,76,RPL Control (Destination Advertisement Object),0
PI_131585,0.0009999999999763,SF_797247,fe80::212:7419:19:1919,fe80::212:7442:42:4242,ICMPv6,76,RPL Control (Destination Advertisement Object),1
PI_922366,0.0090000000000145,SF_771544,fe80::212:7459:59:5959,fe80::212:743d:3d:3d3d,ICMPv6,76,RPL Control (Destination Advertisement Object),0
PI_960359,0.0060000000000854,SF_470652,fe80::212:7404:4:404,ff02::1a,ICMPv6,97,RPL Control (DODAG Information Object),0
PI_114260,0.0019999999999527,SF_844092,fe80::212:7444:44:4444,fe80::212:7425:25:2525,ICMPv6,76,RPL Control (Destination Advertisement Object),0
PI_832303,0.0020000000000095,SF_153520,fe80::212:7403:3:303,fe80::212:7421:21:2121,ICMPv6,76,RPL Control (Destination Advertisement Object),1
PI_229745,0.0090000000000145,SF_230293,fe80::212:740e:e:e0e,fe80::212:7418:18:1818,ICMPv6,76,RPL Control (Destination Advertisement Object),0
PI_336527,0.0020000000000095,SF_894895,fe80::212:7438:38:3838,fe80::212:740f:f:f0f,ICMPv6,76,RPL Control (Destination Advertisement Object),1
PI_575428,0.0090000000000145,SF_609009,fe80::212:7412:12:1212,fe80::212:741f:1f:1f1f,ICMPv6,76,RPL Control (Destination Advertisement Object),0
PI_795416,0.0010000000000047,SF_119215,fe80::212:741b:1b:1b1b,fe80::212:742b:2b:2b2b,ICMPv6,76,RPL Control (Destination Advertisement Object),0
PI_317228,0.4180000000000063,SF_971985,2002:db8::212:740b:b:b0b,2002:db8::ff:fe00:1,UDP,68,Source port: ultraseek-http  Destination port: rrac,1
PI_602939,0.0050000000001091,SF_447806,fe80::212:7457:57:5757,fe80::212:742e:2e:2e2e,ICMPv6,76,RPL Control (Destination Advertisement Object),0
